numero_partido,votos_legenda,nome_partido,sigla_partido
23,111,Cidadania,CIDADANIA
70,40,AVANTE,AVANTE
27,69,Democracia Cristã,DC
11,270,PROGRESSISTAS,PP
25,206,Democratas,DEM
15,179,Movimento Democrático Brasileiro,MDB
30,473,Partido Novo,NOVO
65,40,Partido Comunista do Brasil,PC do B
90,32,Partido Republicano da Ordem Social,PROS
12,307,Partido Democrático Trabalhista,PDT
20,145,Partido Social Cristão,PSC
50,550,Partido Socialismo e Liberdade,PSOL
17,482,Partido Social Liberal,PSL
40,175,Partido Socialista Brasileiro,PSB
55,1513,Partido Social Democrático,PSD
45,1951,Partido da Social Democracia Brasileira,PSDB
43,127,Partido Verde,PV
14,146,Partido Trabalhista Brasileiro,PTB
36,133,Partido Trabalhista Cristão,PTC
51,129,Patriota,PATRIOTA
10,362,REPUBLICANOS,REPUBLICANOS
19,1661,Podemos,PODE
13,536,Partido dos Trabalhadores,PT
18,233,Rede Sustentabilidade,REDE
77,74,Solidariedade,SOLIDARIEDADE
