numero_partido,votos_legenda,nome_partido,sigla_partido
15,153,Movimento Democrático Brasileiro,MDB
11,136,PROGRESSISTAS,PP
25,65,Democratas,DEM
12,309,Partido Democrático Trabalhista,PDT
30,398,Partido Novo,NOVO
28,24,Partido Renovador Trabalhista Brasileiro,PRTB
65,42,Partido Comunista do Brasil,PC do B
18,103,Rede Sustentabilidade,REDE
77,21,Solidariedade,SOLIDARIEDADE
23,1198,Cidadania,CIDADANIA
14,203,Partido Trabalhista Brasileiro,PTB
36,11,Partido Trabalhista Cristão,PTC
45,492,Partido da Social Democracia Brasileira,PSDB
43,112,Partido Verde,PV
29,0,Partido da Causa Operária,PCO
33,40,Partido da Mobilização Nacional,PMN
35,43,Partido da Mulher Brasileira,PMB
40,348,Partido Socialista Brasileiro,PSB
55,310,Partido Social Democrático,PSD
20,110,Partido Social Cristão,PSC
17,135,Partido Social Liberal,PSL
50,217,Partido Socialismo e Liberdade,PSOL
13,1867,Partido dos Trabalhadores,PT
51,468,Patriota,PATRIOTA
10,1413,REPUBLICANOS,REPUBLICANOS
19,111,Podemos,PODE
