numero_partido,votos_legenda,nome_partido,sigla_partido
17,536,Partido Social Liberal,PSL
55,249,Partido Social Democrático,PSD
20,267,Partido Social Cristão,PSC
28,97,Partido Renovador Trabalhista Brasileiro,PRTB
90,592,Partido Republicano da Ordem Social,PROS
70,146,AVANTE,AVANTE
25,1137,Democratas,DEM
23,268,Cidadania,CIDADANIA
27,392,Democracia Cristã,DC
12,313,Partido Democrático Trabalhista,PDT
11,590,PROGRESSISTAS,PP
65,470,Partido Comunista do Brasil,PC do B
40,420,Partido Socialista Brasileiro,PSB
14,620,Partido Trabalhista Brasileiro,PTB
43,93,Partido Verde,PV
36,96,Partido Trabalhista Cristão,PTC
33,215,Partido da Mobilização Nacional,PMN
35,32,Partido da Mulher Brasileira,PMB
13,1323,Partido dos Trabalhadores,PT
45,152,Partido da Social Democracia Brasileira,PSDB
51,48,Patriota,PATRIOTA
19,122,Podemos,PODE
18,537,Rede Sustentabilidade,REDE
77,49,Solidariedade,SOLIDARIEDADE
10,114,REPUBLICANOS,REPUBLICANOS
