numero_partido,votos_legenda,nome_partido,sigla_partido
18,2455,Rede Sustentabilidade,REDE
77,1384,Solidariedade,SOLIDARIEDADE
10,25912,REPUBLICANOS,REPUBLICANOS
80,327,Unidade Popular,UP
11,3997,PROGRESSISTAS,PP
25,43801,Democratas,DEM
15,7196,Movimento Democrático Brasileiro,MDB
27,997,Democracia Cristã,DC
23,2527,Cidadania,CIDADANIA
70,2101,AVANTE,AVANTE
36,862,Partido Trabalhista Cristão,PTC
40,1273,Partido Socialista Brasileiro,PSB
14,1936,Partido Trabalhista Brasileiro,PTB
43,528,Partido Verde,PV
29,0,Partido da Causa Operária,PCO
33,1369,Partido da Mobilização Nacional,PMN
16,693,Partido Socialista dos Trabalhadores Unificado,PSTU
35,919,Partido da Mulher Brasileira,PMB
30,14637,Partido Novo,NOVO
21,1317,Partido Comunista Brasileiro,PCB
12,15289,Partido Democrático Trabalhista,PDT
65,600,Partido Comunista do Brasil,PC do B
22,3659,Partido Liberal,PL
28,820,Partido Renovador Trabalhista Brasileiro,PRTB
19,1445,Podemos,PODE
51,1282,Patriota,PATRIOTA
13,21572,Partido dos Trabalhadores,PT
45,1958,Partido da Social Democracia Brasileira,PSDB
20,3178,Partido Social Cristão,PSC
50,16313,Partido Socialismo e Liberdade,PSOL
55,2094,Partido Social Democrático,PSD
17,9895,Partido Social Liberal,PSL
90,1362,Partido Republicano da Ordem Social,PROS
