numero_partido,votos_legenda,nome_partido,sigla_partido
50,163,Partido Socialismo e Liberdade,PSOL
17,63,Partido Social Liberal,PSL
55,55,Partido Social Democrático,PSD
20,197,Partido Social Cristão,PSC
25,162,Democratas,DEM
15,266,Movimento Democrático Brasileiro,MDB
11,402,PROGRESSISTAS,PP
27,62,Democracia Cristã,DC
23,121,Cidadania,CIDADANIA
18,1288,Rede Sustentabilidade,REDE
77,73,Solidariedade,SOLIDARIEDADE
51,198,Patriota,PATRIOTA
10,159,REPUBLICANOS,REPUBLICANOS
19,193,Podemos,PODE
13,411,Partido dos Trabalhadores,PT
43,53,Partido Verde,PV
33,117,Partido da Mobilização Nacional,PMN
40,424,Partido Socialista Brasileiro,PSB
35,77,Partido da Mulher Brasileira,PMB
14,120,Partido Trabalhista Brasileiro,PTB
36,82,Partido Trabalhista Cristão,PTC
45,1056,Partido da Social Democracia Brasileira,PSDB
65,59,Partido Comunista do Brasil,PC do B
90,105,Partido Republicano da Ordem Social,PROS
12,4528,Partido Democrático Trabalhista,PDT
28,79,Partido Renovador Trabalhista Brasileiro,PRTB
22,479,Partido Liberal,PL
