numero_partido,votos_legenda,nome_partido,sigla_partido
45,201577,Partido da Social Democracia Brasileira,PSDB
51,41348,Patriota,PATRIOTA
13,91257,Partido dos Trabalhadores,PT
77,2057,Solidariedade,SOLIDARIEDADE
80,551,Unidade Popular,UP
10,46678,REPUBLICANOS,REPUBLICANOS
19,4242,Podemos,PODE
18,3393,Rede Sustentabilidade,REDE
25,10362,Democratas,DEM
15,9447,Movimento Democrático Brasileiro,MDB
36,710,Partido Trabalhista Cristão,PTC
43,3554,Partido Verde,PV
29,532,Partido da Causa Operária,PCO
40,50832,Partido Socialista Brasileiro,PSB
14,3172,Partido Trabalhista Brasileiro,PTB
16,1544,Partido Socialista dos Trabalhadores Unificado,PSTU
33,863,Partido da Mobilização Nacional,PMN
35,946,Partido da Mulher Brasileira,PMB
90,864,Partido Republicano da Ordem Social,PROS
17,13564,Partido Social Liberal,PSL
55,9053,Partido Social Democrático,PSD
50,82601,Partido Socialismo e Liberdade,PSOL
20,2806,Partido Social Cristão,PSC
12,8217,Partido Democrático Trabalhista,PDT
11,9046,PROGRESSISTAS,PP
30,36031,Partido Novo,NOVO
21,1341,Partido Comunista Brasileiro,PCB
28,1932,Partido Renovador Trabalhista Brasileiro,PRTB
65,2405,Partido Comunista do Brasil,PC do B
22,8123,Partido Liberal,PL
70,1395,AVANTE,AVANTE
27,713,Democracia Cristã,DC
23,2452,Cidadania,CIDADANIA
